id,key,value,type
41208930,highway,traffic_signals,regular
41208934,highway,traffic_signals,regular
41211781,noexit,yes,regular
41217713,highway,turning_circle,regular
41221716,highway,turning_circle,regular
41239676,highway,traffic_signals,regular
41249162,highway,motorway_junction,regular
41249162,ref,193,regular
41267538,highway,turning_circle,regular
41294352,highway,turning_circle,regular
41294353,highway,turning_circle,regular
41327946,highway,turning_circle,regular
41332052,highway,turning_circle,regular
41336017,highway,traffic_signals,regular
41353383,highway,turning_circle,regular
41353392,highway,turning_circle,regular
41353392,source,Yahoo,regular
41398023,noexit,yes,regular
41417509,highway,turning_circle,regular
41436731,highway,turning_circle,regular
41454949,highway,motorway_junction,regular
41454949,ref,191,regular
41454952,highway,traffic_signals,regular
41469558,traffic_calming,bump,regular
41469570,noexit,yes,regular
41469575,noexit,yes,regular
41475998,noexit,yes,regular
41476004,noexit,yes,regular
41476011,noexit,yes,regular
41476020,noexit,yes,regular
41482016,noexit,yes,regular
41482022,noexit,yes,regular
41482027,noexit,yes,regular
41487660,noexit,yes,regular
41487666,noexit,yes,regular
41487672,noexit,yes,regular
41490169,highway,turning_circle,regular
41497095,highway,turning_circle,regular
41497107,highway,turning_circle,regular
41497131,highway,turning_circle,regular
41497135,highway,turning_circle,regular
41498729,highway,turning_circle,regular
41500402,highway,turning_circle,regular
41501298,highway,traffic_signals,regular
41501304,highway,traffic_signals,regular
41501310,highway,traffic_signals,regular
41501318,highway,traffic_signals,regular
41501698,highway,turning_circle,regular
41501909,highway,turning_circle,regular
41502051,highway,turning_circle,regular
41502780,highway,turning_circle,regular
41503005,highway,turning_circle,regular
41503007,highway,turning_circle,regular
41503018,highway,turning_circle,regular
41505405,highway,turning_circle,regular
41505569,highway,turning_circle,regular
41505720,highway,turning_circle,regular
41505799,highway,turning_circle,regular
41505867,highway,turning_circle,regular
41510482,highway,turning_circle,regular
41510498,highway,turning_circle,regular
41510504,highway,turning_circle,regular
41510518,highway,turning_circle,regular
41511907,highway,turning_circle,regular
41512751,highway,turning_circle,regular
41512763,highway,turning_circle,regular
41513767,highway,turning_circle,regular
41513772,highway,turning_circle,regular
41517763,highway,turning_circle,regular
41518906,highway,turning_circle,regular
41519287,highway,turning_circle,regular
41519348,highway,turning_circle,regular
41523496,highway,turning_circle,regular
41523502,highway,turning_circle,regular
41523516,highway,turning_circle,regular
41524842,highway,turning_circle,regular
41525773,highway,turning_circle,regular
41527985,highway,turning_circle,regular
41527996,highway,turning_circle,regular
41530985,highway,traffic_signals,regular
41531004,highway,traffic_signals,regular
41531030,highway,traffic_signals,regular
41531031,crossing,traffic_signals,regular
41531031,highway,crossing,regular
41531085,highway,traffic_signals,regular
41531502,highway,turning_circle,regular
41531508,highway,turning_circle,regular
41531513,highway,turning_circle,regular
41535946,highway,turning_circle,regular
41537202,highway,turning_circle,regular
41540081,highway,turning_circle,regular
41540084,highway,turning_circle,regular
41540624,highway,turning_circle,regular
41545266,highway,turning_circle,regular
41545757,highway,turning_circle,regular
41549735,highway,turning_circle,regular
41549748,highway,turning_circle,regular
41549955,highway,turning_circle,regular
41553305,highway,traffic_signals,regular
41553326,highway,traffic_signals,regular
41557131,highway,turning_circle,regular
41558183,highway,turning_circle,regular
41558351,highway,turning_circle,regular
41558355,highway,turning_circle,regular
41563237,highway,turning_circle,regular
41563240,highway,turning_circle,regular
41565434,highway,traffic_signals,regular
41565441,highway,traffic_signals,regular
41567638,highway,turning_circle,regular
41567647,highway,turning_circle,regular
41567652,highway,turning_circle,regular
41567696,highway,turning_circle,regular
41567704,highway,turning_circle,regular
41569198,highway,turning_circle,regular
41569201,highway,turning_circle,regular
41569435,highway,turning_circle,regular
41570416,highway,turning_circle,regular
41570423,highway,turning_circle,regular
41570431,highway,turning_circle,regular
41570478,highway,turning_circle,regular
41570484,highway,turning_circle,regular
41570533,highway,turning_circle,regular
41571061,highway,turning_circle,regular
41573631,highway,turning_circle,regular
41573639,highway,turning_circle,regular
41574792,highway,turning_circle,regular
41576389,highway,turning_circle,regular
41576444,highway,turning_circle,regular
41576447,highway,turning_circle,regular
41576457,highway,turning_circle,regular
41579090,highway,turning_circle,regular
41579095,highway,turning_circle,regular
41579110,highway,turning_circle,regular
41579115,highway,turning_circle,regular
41579195,highway,turning_circle,regular
41585657,highway,turning_circle,regular
41587675,highway,turning_circle,regular
41587752,highway,turning_circle,regular
41588500,highway,turning_circle,regular
41589466,highway,traffic_signals,regular
41589487,highway,traffic_signals,regular
41589859,highway,turning_circle,regular
41593077,highway,turning_circle,regular
41593817,highway,turning_circle,regular
41593820,highway,turning_circle,regular
41593845,highway,turning_circle,regular
41593894,highway,turning_circle,regular
41598449,highway,turning_circle,regular
41598454,highway,turning_circle,regular
41602529,highway,turning_circle,regular
41602610,highway,turning_circle,regular
41603339,highway,turning_circle,regular
41603910,highway,traffic_signals,regular
41603917,note,Way was split for USBR 90.,regular
41604093,highway,turning_circle,regular
41606644,highway,turning_circle,regular
41606657,highway,turning_circle,regular
41606665,highway,turning_circle,regular
41606680,highway,turning_circle,regular
41606693,highway,turning_circle,regular
41606703,highway,turning_circle,regular
41607465,highway,turning_circle,regular
41607470,highway,turning_circle,regular
41607481,highway,turning_circle,regular
41608246,highway,traffic_signals,regular
41609431,highway,turning_circle,regular
41609772,highway,turning_circle,regular
41609887,noexit,yes,regular
41610598,highway,turning_circle,regular
41610680,highway,turning_circle,regular
41610683,highway,turning_circle,regular
41610700,highway,turning_circle,regular
41611490,highway,turning_circle,regular
41611886,highway,turning_circle,regular
41611903,highway,turning_circle,regular
41611906,highway,turning_circle,regular
41611931,highway,turning_circle,regular
41611937,highway,turning_circle,regular
41611947,highway,turning_circle,regular
41612523,highway,turning_circle,regular
41612606,highway,traffic_signals,regular
41612629,highway,traffic_signals,regular
41613400,highway,turning_circle,regular
41614718,highway,turning_circle,regular
41614863,barrier,gate,regular
41614863,bicycle,yes,regular
41614863,foot,yes,regular
41614863,horse,yes,regular
41614863,motor_vehicle,yes,regular
41614863,name,AA Pit Gate,regular
41615606,highway,turning_circle,regular
41617656,highway,turning_circle,regular
41618013,highway,turning_circle,regular
41618110,highway,turning_circle,regular
41620199,highway,turning_circle,regular
41620212,highway,turning_circle,regular
41620217,highway,turning_circle,regular
41620222,highway,turning_circle,regular
41620224,highway,turning_circle,regular
41620225,highway,turning_circle,regular
41621158,highway,turning_circle,regular
41621181,highway,turning_circle,regular
41621195,highway,turning_circle,regular
41622487,highway,turning_circle,regular
41622488,highway,turning_circle,regular
41622492,highway,turning_circle,regular
41622513,highway,turning_circle,regular
41622527,highway,turning_circle,regular
41624018,highway,turning_circle,regular
41624336,highway,traffic_signals,regular
41627007,highway,turning_circle,regular
41628281,highway,turning_circle,regular
41628284,highway,turning_circle,regular
41628290,highway,turning_circle,regular
41628293,highway,turning_circle,regular
41628876,highway,turning_circle,regular
41631268,highway,turning_circle,regular
41635286,highway,turning_circle,regular
41635289,highway,turning_circle,regular
41637838,highway,turning_circle,regular
41639271,highway,turning_circle,regular
41639326,highway,turning_circle,regular
41641242,highway,turning_circle,regular
41641248,highway,turning_circle,regular
41641249,highway,turning_circle,regular
41641251,highway,turning_circle,regular
41641259,highway,turning_circle,regular
41644148,highway,turning_circle,regular
41644156,highway,turning_circle,regular
41644157,highway,turning_circle,regular
41648812,highway,turning_circle,regular
41648815,highway,turning_circle,regular
41648818,highway,turning_circle,regular
41648821,highway,turning_circle,regular
41648824,highway,turning_circle,regular
41648829,highway,turning_circle,regular
41648839,highway,turning_circle,regular
41648851,highway,turning_circle,regular
41649308,highway,turning_circle,regular
41649316,highway,turning_circle,regular
41650563,highway,turning_circle,regular
41650565,highway,turning_circle,regular
41650570,highway,turning_circle,regular
41651358,highway,turning_circle,regular
41651464,highway,turning_circle,regular
41657515,highway,turning_circle,regular
41657590,highway,turning_circle,regular
41657595,highway,turning_circle,regular
41658374,highway,turning_circle,regular
41660961,highway,traffic_signals,regular
41661714,note,Way was split for USBR 90.,regular
41661718,note,Way was split for USBR 90.,regular
41661914,highway,turning_circle,regular
41662959,highway,turning_circle,regular
41662971,highway,turning_circle,regular
41667072,highway,turning_circle,regular
41667588,highway,turning_circle,regular
41668658,highway,turning_circle,regular
41668677,noexit,yes,regular
41669014,barrier,gate,regular
41669907,highway,turning_circle,regular
41669908,highway,turning_circle,regular
41672195,highway,turning_circle,regular
41674145,highway,turning_circle,regular
41674369,highway,turning_circle,regular
41674370,highway,turning_circle,regular
41677045,highway,traffic_signals,regular
41677110,highway,traffic_signals,regular
41678088,highway,turning_circle,regular
41678106,highway,turning_circle,regular
41679521,highway,turning_circle,regular
41681827,highway,turning_circle,regular
41681834,highway,turning_circle,regular
41684187,highway,turning_circle,regular
41684941,highway,turning_circle,regular
41685670,highway,turning_circle,regular
41685674,highway,turning_circle,regular
41685678,highway,turning_circle,regular
41686304,highway,turning_circle,regular
41686341,highway,turning_circle,regular
41686347,highway,turning_circle,regular
41690175,highway,turning_circle,regular
41690242,highway,turning_circle,regular
41690247,highway,turning_circle,regular
41691201,highway,turning_circle,regular
41695071,highway,turning_circle,regular
41695077,highway,turning_circle,regular
41695458,highway,turning_circle,regular
41695468,highway,turning_circle,regular
41696437,highway,turning_circle,regular
41697931,highway,turning_circle,regular
41698470,highway,turning_circle,regular
41702479,highway,turning_circle,regular
41702495,highway,turning_circle,regular
41704510,highway,turning_circle,regular
41706575,highway,turning_circle,regular
41707675,highway,turning_circle,regular
41707686,highway,turning_circle,regular
41707713,highway,turning_circle,regular
41707719,highway,turning_circle,regular
41707728,highway,turning_circle,regular
41707733,highway,turning_circle,regular
41710116,highway,turning_circle,regular
41710158,highway,turning_circle,regular
41710218,highway,turning_circle,regular
41710223,highway,turning_circle,regular
41714695,crossing,traffic_signals,regular
41714695,highway,crossing,regular
41714797,highway,traffic_signals,regular
41714832,highway,traffic_signals,regular
41714862,highway,traffic_signals,regular
41716668,highway,turning_circle,regular
41716939,highway,turning_circle,regular
41717161,highway,turning_circle,regular
41717213,highway,turning_circle,regular
41717891,highway,turning_circle,regular
41717896,highway,turning_circle,regular
41717900,highway,turning_circle,regular
41717903,highway,turning_circle,regular
41717927,highway,turning_circle,regular
41717939,highway,turning_circle,regular
41718534,highway,turning_circle,regular
41718572,highway,turning_circle,regular
41723072,highway,traffic_signals,regular
41723129,highway,traffic_signals,regular
41723129,traffic_signals,signal,regular
41723135,highway,turning_circle,regular
41723228,highway,turning_circle,regular
41727533,highway,turning_circle,regular
41727538,highway,turning_circle,regular
41730588,highway,turning_circle,regular
41730589,highway,turning_circle,regular
41730741,highway,turning_circle,regular
41733173,highway,turning_circle,regular
41733179,highway,turning_circle,regular
41733185,highway,turning_circle,regular
41733997,highway,turning_circle,regular
41734002,highway,turning_circle,regular
41734527,highway,traffic_signals,regular
41734543,highway,traffic_signals,regular
41734543,traffic_signals,signal,regular
41734543,direction,both,traffic_signals
41735359,highway,turning_circle,regular
41736901,highway,turning_circle,regular
41738120,highway,turning_circle,regular
41740057,highway,turning_circle,regular
41740062,highway,turning_circle,regular
41741014,noexit,yes,regular
41741018,highway,turning_circle,regular
41741035,highway,turning_circle,regular
41741046,highway,turning_circle,regular
41744590,noexit,yes,regular
41744761,highway,turning_circle,regular
41744874,highway,turning_circle,regular
41752441,highway,turning_circle,regular
41752462,highway,turning_circle,regular
41752464,highway,turning_circle,regular
41754901,highway,turning_circle,regular
41754979,highway,turning_circle,regular
41754987,highway,turning_circle,regular
41755042,highway,turning_circle,regular
41756884,highway,turning_circle,regular
41757510,highway,turning_circle,regular
41759531,highway,turning_circle,regular
41759666,highway,turning_circle,regular
41759676,highway,turning_circle,regular
41759682,highway,turning_circle,regular
41759963,highway,turning_circle,regular
41759971,highway,turning_circle,regular
41761557,highway,turning_circle,regular
41761566,highway,turning_circle,regular
41761572,highway,turning_circle,regular
41761577,highway,turning_circle,regular
41763617,highway,turning_circle,regular
41763625,highway,turning_circle,regular
41764776,highway,turning_circle,regular
41764871,highway,turning_circle,regular
41765816,highway,turning_circle,regular
41765820,highway,turning_circle,regular
41767216,highway,turning_circle,regular
41767222,highway,turning_circle,regular
41767314,highway,turning_circle,regular
41769827,highway,turning_circle,regular
41769834,highway,turning_circle,regular
41769840,highway,turning_circle,regular
41769844,highway,turning_circle,regular
41769866,highway,turning_circle,regular
41769978,highway,turning_circle,regular
41770149,highway,turning_circle,regular
41770268,highway,turning_circle,regular
41770605,highway,turning_circle,regular
41771288,highway,turning_circle,regular
41773516,highway,turning_circle,regular
41777686,highway,turning_circle,regular
41777747,highway,turning_circle,regular
41779230,barrier,gate,regular
41783320,highway,turning_circle,regular
41783337,highway,turning_circle,regular
41783389,highway,turning_circle,regular
41783445,highway,turning_circle,regular
41784007,highway,turning_circle,regular
41784675,highway,turning_circle,regular
41790490,highway,turning_circle,regular
41790493,highway,turning_circle,regular
41790515,highway,turning_circle,regular
41790567,highway,turning_circle,regular
41790574,highway,turning_circle,regular
