id,user,uid,version,changeset,timestamp
5560581,TheDutchMan13,1330847,5,69893594,2019-05-05T03:38:44Z
5561007,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:09Z
5561046,Adam Martin,1539368,3,38206527,2016-03-31T18:20:13Z
5561162,Dr Kludge,292665,2,28900374,2015-02-17T04:35:26Z
5561170,Dr Kludge,292665,6,28900374,2015-02-17T04:31:31Z
5561469,Dr Kludge,292665,4,28900374,2015-02-17T04:35:34Z
5561612,AJ Riley,157922,3,12576189,2012-08-01T16:24:31Z
5561638,TheDutchMan13,1330847,23,89118193,2020-08-08T07:21:09Z
5561676,bogdan_andrei,4433679,5,52034552,2017-09-14T11:43:31Z
5561787,TheDutchMan13,1330847,6,33295529,2015-08-12T16:28:57Z
5561790,TheDutchMan13,1330847,7,36059932,2015-12-20T07:16:46Z
5562050,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:46Z
5562071,AJ Riley,157922,3,12576189,2012-08-01T16:23:47Z
5562241,Dr Kludge,292665,5,28900374,2015-02-17T04:35:22Z
5562383,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5562412,AJ Riley,157922,3,12571506,2012-08-01T09:17:42Z
5562418,AJ Riley,157922,6,12572674,2012-08-01T10:54:15Z
5562600,TheDutchMan13,1330847,5,33295529,2015-08-12T16:28:57Z
5562702,AJ Riley,157922,2,12718488,2012-08-13T19:31:31Z
5563034,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5563163,oanac2_telenav,4827272,15,53070683,2017-10-19T14:42:25Z
5563283,TheDutchMan13,1330847,5,33295529,2015-08-12T16:28:57Z
5563331,Dr Kludge,292665,5,28900374,2015-02-17T04:35:46Z
5563402,AJ Riley,157922,3,12572674,2012-08-01T10:54:26Z
5563404,AJ Riley,157922,3,12572674,2012-08-01T10:54:48Z
5563405,AJ Riley,157922,3,12572674,2012-08-01T10:54:53Z
5563561,AJ Riley,157922,3,12576189,2012-08-01T16:23:45Z
5563617,AJ Riley,157922,3,12572674,2012-08-01T10:54:29Z
5563622,AJ Riley,157922,3,12572674,2012-08-01T10:54:38Z
5563771,AJ Riley,157922,2,12704554,2012-08-12T17:43:13Z
5563924,corinag_telenav,5607966,11,52383769,2017-09-26T12:36:01Z
5564004,TheDutchMan13,1330847,5,33297000,2015-08-12T18:01:35Z
5564204,AJ Riley,157922,3,12571506,2012-08-01T09:17:39Z
5564557,ErichRitz,7531901,3,81740910,2020-03-03T18:38:43Z
5564742,Dr Kludge,292665,3,28900374,2015-02-17T04:31:22Z
5564815,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:09Z
5564931,corinag_telenav,5607966,14,52383769,2017-09-26T12:36:01Z
5565075,TheDutchMan13,1330847,5,33297000,2015-08-12T18:01:34Z
5565076,TheDutchMan13,1330847,5,33295529,2015-08-12T16:28:57Z
5565947,Dr Kludge,292665,5,77192908,2019-11-17T16:10:42Z
5566896,AJ Riley,157922,3,12572674,2012-08-01T10:54:49Z
5566917,AJ Riley,157922,3,12572674,2012-08-01T10:54:55Z
5566918,TheDutchMan13,1330847,4,89938781,2020-08-26T00:14:44Z
5566921,AJ Riley,157922,3,12572674,2012-08-01T10:54:54Z
5567384,AJ Riley,157922,3,12576189,2012-08-01T16:24:16Z
5567394,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:46Z
5567999,Dr Kludge,292665,10,28900374,2015-02-17T04:35:46Z
5568635,AJ Riley,157922,4,12576189,2012-08-01T16:24:38Z
5568762,AJ Riley,157922,3,12572674,2012-08-01T10:54:56Z
